ABERDEEN,0
ALBREDA,1
ASHCROFT,2
ASSINIBOINE,3
BLACKFOOT,4
BRAZEAU,5
BULKLEY,6
CAMROSE,7
CHETWYND,8
CLEARWATER,9
CORONADO,10
DAWSON CREEK,11
EDSON,12
FOOTHILLS,13
FORT FRANCES,14
FORT NELSON,15
FRASER,16
GLADSTONE,17
GRANDE CACHE,18
KASHABOWIE,19
KITIMAT,20
LAC LA BICHE,21
LEITHTON,22
LILLOOET,23
LUMBY,24
MACKENZIE,25
MARGO,26
MOUNTAIN PARK,27
NECHAKO,28
NEENAH,29
NEW WESTMINSTER,30
OKANAGAN,31
PEACE RIVER,32
PREECEVILLE,33
PRINCE GEORGE,34
QUAPPELLE,35
RAINY,36
RAWLISON,37
RIVERS,38
ROBSON,39
ROSETOWN,40
SANGUDO,41
SKEENA,42
SLAVE LAKE,43
SPRAGUE,44
SQUAMISH,45
STUART,46
SUPERIOR,47
TELKWA,48
TETE JAUNE,49
THREE HILLS,50
TOGO,51
VEGREVILLE,52
WAINWRIGHT,53
WARMAN,54
WATROUS,55
WAUKESHA,56
WESTLOCK,57
YALE,58
YORKTON,59
