Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,CwrTerritory,DestressingMethod,ClosureType,NumberofInsulatedJoints,NumberofTransitionRails,NumberofCompromiseRails,FastenerTypeTie,PlateChangeOutRequired,RailType,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,NumberofTampers,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes
00:00.0,WAUKESHA,S70P0R01,NULL,310,2,No,No,Yes,151.4499969,152.1900024,Pattern 10,B,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3366,72,1,360
00:00.0,WAUKESHA,S70P0R03,NULL,310,2,No,No,Yes,153.3800049,153.8999939,Pattern 10,B,No,HEATERS,NULL,0,0,0,NA,Yes,New,60,NULL,NULL,NULL,2328,72,1,360
00:00.0,NEENAH,S70P0R05,NULL,310,1,No,No,Yes,163.0599976,163.8999939,Pattern 10,B,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,4303,72,1,360
00:00.0,NEENAH,S70P0R05,NULL,310,1,No,No,Yes,163.8999939,165.3099976,Pattern 10,B,No,HEATERS,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,3947,72,1,360
00:00.0,NEENAH,S70P0R05,NULL,310,1,No,No,Yes,163.8999939,165.3099976,Pattern 10,B,No,HEATERS,NULL,1,0,1,NA,Yes,New,0,NULL,NULL,NULL,3957,72,1,360
00:00.0,NEENAH,S70P0R01,NULL,310,1,No,No,Yes,165.7400055,167.0299988,Pattern 10,B,No,HEATERS,NULL,0,0,0,NA,Yes,New,0,NULL,NULL,NULL,3315,72,1,300
00:00.0,NEENAH,S70P0R01,NULL,310,1,No,No,Yes,165.7400055,167.0299988,Pattern 10,B,No,HEATERS,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,3167,72,1,300
00:00.0,NEENAH,S70P0R01,NULL,310,1,No,No,Yes,165.7400055,167.0299988,Pattern 10,B,No,HEATERS,NULL,1,0,1,NA,Yes,New,0,NULL,NULL,NULL,3176,72,1,300
00:00.0,CAMROSE,W50P0R03,NULL,310,1,No,No,Yes,71.87999725,72.45999908,Pattern 10,A,No,HEATERS,NULL,0,0,1,NA,Yes,New,0,NULL,NULL,NULL,2639,72,1,420
00:00.0,CAMROSE,W50P0R07,NULL,310,1,No,No,Yes,74.26000214,74.68000031,Pattern 10,A,No,HEATERS,NULL,0,0,1,NA,Yes,New,45,NULL,NULL,NULL,3087,72,1,420
