Date,SubDivision,GangId,OrderNumber,OperationNumber,TrackId,MegaWorkBlock,ShadowWorkBlock,SplitWorkBlock,TieType,WBMileFrom,WBMileTo,AnchorPattern,SpikePattern,FastenerTypeTie,TravelTimeDuringBlocks,ActualStartTime,ActualEndTime,TieNumberType,NumberofTampers,PadInsulatorType,ExpectedOutput,ConfidenceLevel,Version,workBlockPlannedMinutes,TieDensity
00:00.0,YALE,W53T0100,707565622,410,1,No,No,No,WOOD,8,8.090000153,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,22.56999969,0.699999988,1,240,255.5551147
00:00.0,YALE,W53T0100,707565622,410,1,No,No,No,WOOD,8.100000381,8.18999958,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,34.90499878,0.699999988,1,240,388.8923645
00:00.0,YALE,W53T0100,707565622,410,1,No,No,No,WOOD,8.199999809,8.289999962,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,29.77000046,0.699999988,1,240,333.3327637
00:00.0,YALE,W53T02TE,707565293,410,1,No,No,No,WOOD,41.59999847,41.66999817,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,237.0650024,0.699999988,1,0,3328.585938
00:00.0,YALE,W53T02TJ,707565293,710,1,No,No,No,WOOD,41.59999847,41.90999985,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,927.085022,0.699999988,1,0,5312.879883
00:00.0,YALE,W53T02TJ,707565293,710,1,No,No,No,WOOD,46.29999924,46.90999985,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,699.0949707,0.699999988,1,0,5263.929199
00:00.0,YALE,W53T02TE,707565293,410,1,No,No,No,WOOD,47.70000076,47.79000092,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,317.6400146,0.699999988,1,0,3444.438721
00:00.0,YALE,W53T02TE,707565293,410,1,No,No,No,WOOD,47.79000092,47.90000153,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,376.1099854,0.699999988,1,0,3454.526367
00:00.0,YALE,W53T02TJ,707565293,710,1,No,No,No,WOOD,47.70000076,48.5,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,502.2950134,0.699999988,1,0,5266.254883
00:00.0,YALE,W53T02TJ,707565293,710,1,No,No,No,WOOD,48.5,49.15000153,Pattern 10,B,NA,0,NULL,NULL,NA,0,NULL,763.4799805,0.699999988,1,0,5281.525879
